attack_type,max_iter,learning_rate,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,clean_pred_class,adv_pred_class,clean_confidence,adv_confidence
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,dataset/attacks/NN1/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,0.010006,0.004934,7185,2967,0.9269818067550659,0.020292647182941437
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,dataset/attacks/NN1/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,0.005,0.002932,7185,1168,0.10692085325717926,0.0004475158639252186
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,dataset/attacks/NN1/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,0.005,0.003792,7185,7483,0.8396754264831543,0.17960044741630554
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,dataset/attacks/NN1/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,0.010006,0.006081,7185,7711,0.89494788646698,0.019094226881861687
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,dataset/attacks/NN1/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,0.005,0.004051,7185,4277,0.7210138440132141,0.008527466095983982
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,dataset/attacks/NN1/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,0.005,0.003689,7185,639,0.32794979214668274,0.005035938695073128
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,dataset/attacks/NN1/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,0.010006,0.005892,7185,6688,0.8449190258979797,0.08176802098751068
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,dataset/attacks/NN1/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,0.005,0.003348,7185,7475,0.09422985464334488,0.0012880607973784208
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,dataset/attacks/NN1/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,0.005,0.0032,7185,4236,0.25136205554008484,0.0014137551188468933
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,dataset/attacks/NN1/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,0.005,0.003098,7185,4540,0.6051822304725647,0.07917074114084244
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0000.tiff,dataset/attacks/NN1/error_generic/cw/001_n002771_Felix_Neureuther/0000.tiff,0.010006,0.006135,2585,375,0.7833148241043091,0.025821497663855553
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0001.tiff,dataset/attacks/NN1/error_generic/cw/001_n002771_Felix_Neureuther/0001.tiff,0.005,0.003443,2585,4240,0.281130313873291,0.0033767225686460733
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0002.tiff,dataset/attacks/NN1/error_generic/cw/001_n002771_Felix_Neureuther/0002.tiff,0.005,0.002994,2585,5566,0.8379115462303162,0.287757933139801
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0003.tiff,dataset/attacks/NN1/error_generic/cw/001_n002771_Felix_Neureuther/0003.tiff,0.005,0.004002,2585,4240,0.8819735050201416,0.24856354296207428
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0004.tiff,dataset/attacks/NN1/error_generic/cw/001_n002771_Felix_Neureuther/0004.tiff,0.005,0.003823,2585,2349,0.7788307666778564,0.02918134070932865
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0005.tiff,dataset/attacks/NN1/error_generic/cw/001_n002771_Felix_Neureuther/0005.tiff,0.005,0.003807,2585,3525,0.3489026725292206,0.005311537999659777
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0006.tiff,dataset/attacks/NN1/error_generic/cw/001_n002771_Felix_Neureuther/0006.tiff,0.005,0.003503,2585,375,0.6672029495239258,0.11532934755086899
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0008.tiff,dataset/attacks/NN1/error_generic/cw/001_n002771_Felix_Neureuther/0008.tiff,0.005,0.003858,2585,5569,0.7908756136894226,0.13817961513996124
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0009.tiff,dataset/attacks/NN1/error_generic/cw/001_n002771_Felix_Neureuther/0009.tiff,0.005,0.003796,2585,2349,0.7863985896110535,0.04735540971159935
cw_linf,10,0.01,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0000.tiff,dataset/attacks/NN1/error_generic/cw/002_n006115_Mike_Posner/0000.tiff,0.005,0.004093,5658,4956,0.9380102753639221,0.18364247679710388
cw_linf,10,0.01,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0001.tiff,dataset/attacks/NN1/error_generic/cw/002_n006115_Mike_Posner/0001.tiff,0.005,0.003624,5658,3994,0.28077608346939087,0.004846593365073204
cw_linf,10,0.01,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0002.tiff,dataset/attacks/NN1/error_generic/cw/002_n006115_Mike_Posner/0002.tiff,0.005,0.003713,5658,1818,0.5447301268577576,0.09233086556196213
cw_linf,10,0.01,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0004.tiff,dataset/attacks/NN1/error_generic/cw/002_n006115_Mike_Posner/0004.tiff,0.005,0.003481,5658,8173,0.698334276676178,0.054169345647096634
cw_linf,10,0.01,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0005.tiff,dataset/attacks/NN1/error_generic/cw/002_n006115_Mike_Posner/0005.tiff,0.005,0.003634,5658,1005,0.06810220330953598,0.00013453696737997234
cw_linf,10,0.01,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0006.tiff,dataset/attacks/NN1/error_generic/cw/002_n006115_Mike_Posner/0006.tiff,0.005,0.004004,5658,7440,0.894909143447876,0.06806479394435883
cw_linf,10,0.01,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0007.tiff,dataset/attacks/NN1/error_generic/cw/002_n006115_Mike_Posner/0007.tiff,0.005,0.00386,5658,5718,0.22336989641189575,0.00016162464453373104
cw_linf,10,0.01,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0008.tiff,dataset/attacks/NN1/error_generic/cw/002_n006115_Mike_Posner/0008.tiff,0.010006,0.006656,5658,1655,0.9196769595146179,0.018812382593750954
cw_linf,10,0.01,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0009.tiff,dataset/attacks/NN1/error_generic/cw/002_n006115_Mike_Posner/0009.tiff,0.005,0.004408,5658,7165,0.9215109348297119,0.025520432740449905
cw_linf,10,0.01,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0000.tiff,dataset/attacks/NN1/error_generic/cw/003_n006980_Philip_Michael_Thomas/0000.tiff,0.005,0.003536,6487,1201,0.5960921049118042,0.1465301364660263
cw_linf,10,0.01,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0001.tiff,dataset/attacks/NN1/error_generic/cw/003_n006980_Philip_Michael_Thomas/0001.tiff,0.005,0.0029,6487,5239,0.5485618710517883,0.038012243807315826
cw_linf,10,0.01,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0002.tiff,dataset/attacks/NN1/error_generic/cw/003_n006980_Philip_Michael_Thomas/0002.tiff,0.005,0.003168,6487,1914,0.15838304162025452,0.001819151220843196
cw_linf,10,0.01,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0003.tiff,dataset/attacks/NN1/error_generic/cw/003_n006980_Philip_Michael_Thomas/0003.tiff,0.010006,0.006315,6487,7973,0.8788157105445862,0.14866113662719727
cw_linf,10,0.01,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0004.tiff,dataset/attacks/NN1/error_generic/cw/003_n006980_Philip_Michael_Thomas/0004.tiff,0.010006,0.006553,6487,5239,0.8291639685630798,0.040996719151735306
cw_linf,10,0.01,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0005.tiff,dataset/attacks/NN1/error_generic/cw/003_n006980_Philip_Michael_Thomas/0005.tiff,0.005,0.004195,6487,7973,0.6246945261955261,0.06846734136343002
cw_linf,10,0.01,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0007.tiff,dataset/attacks/NN1/error_generic/cw/003_n006980_Philip_Michael_Thomas/0007.tiff,0.005,0.003468,6487,5239,0.6243447065353394,0.007030653301626444
cw_linf,10,0.01,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0009.tiff,dataset/attacks/NN1/error_generic/cw/003_n006980_Philip_Michael_Thomas/0009.tiff,0.010006,0.006813,6487,1201,0.7390384078025818,0.09095540642738342
cw_linf,10,0.01,False,none,-1,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0000.tiff,dataset/attacks/NN1/error_generic/cw/004_n002295_Drake/0000.tiff,0.005,0.003744,2148,2391,0.9096582531929016,0.28704124689102173
cw_linf,10,0.01,False,none,-1,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0001.tiff,dataset/attacks/NN1/error_generic/cw/004_n002295_Drake/0001.tiff,0.005,0.003983,2148,4102,0.865770697593689,0.19122830033302307
cw_linf,10,0.01,False,none,-1,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0002.tiff,dataset/attacks/NN1/error_generic/cw/004_n002295_Drake/0002.tiff,0.010006,0.005984,2148,8242,0.862267017364502,0.23982106149196625
cw_linf,10,0.01,False,none,-1,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0003.tiff,dataset/attacks/NN1/error_generic/cw/004_n002295_Drake/0003.tiff,0.005,0.003667,2148,2338,0.8543298244476318,0.008643150329589844
cw_linf,10,0.01,False,none,-1,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0004.tiff,dataset/attacks/NN1/error_generic/cw/004_n002295_Drake/0004.tiff,0.010006,0.006193,2148,2995,0.882871150970459,0.1255437433719635
cw_linf,10,0.01,False,none,-1,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0005.tiff,dataset/attacks/NN1/error_generic/cw/004_n002295_Drake/0005.tiff,0.005,0.003502,2148,5455,0.734123945236206,0.0486735999584198
cw_linf,10,0.01,False,none,-1,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0006.tiff,dataset/attacks/NN1/error_generic/cw/004_n002295_Drake/0006.tiff,0.015022,0.007158,2148,8242,0.9350281953811646,0.21407899260520935
cw_linf,10,0.01,False,none,-1,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0007.tiff,dataset/attacks/NN1/error_generic/cw/004_n002295_Drake/0007.tiff,0.010006,0.006091,2148,4256,0.9129799008369446,0.11575274914503098
cw_linf,10,0.01,False,none,-1,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0008.tiff,dataset/attacks/NN1/error_generic/cw/004_n002295_Drake/0008.tiff,0.010006,0.006291,2148,7972,0.8680272102355957,0.2267676293849945
cw_linf,10,0.01,False,none,-1,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0009.tiff,dataset/attacks/NN1/error_generic/cw/004_n002295_Drake/0009.tiff,0.015022,0.00745,2148,8242,0.8660845160484314,0.08326050639152527
cw_linf,10,0.01,False,none,-1,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0000.tiff,dataset/attacks/NN1/error_generic/cw/005_n001597_Chris_Duhon/0000.tiff,0.005,0.003749,1503,823,0.5109549760818481,0.09050626307725906
cw_linf,10,0.01,False,none,-1,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0001.tiff,dataset/attacks/NN1/error_generic/cw/005_n001597_Chris_Duhon/0001.tiff,0.005,0.003614,1503,2779,0.7130098342895508,0.15295982360839844
cw_linf,10,0.01,False,none,-1,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0002.tiff,dataset/attacks/NN1/error_generic/cw/005_n001597_Chris_Duhon/0002.tiff,0.005,0.004122,1503,3392,0.7489774227142334,0.024285385385155678
cw_linf,10,0.01,False,none,-1,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0003.tiff,dataset/attacks/NN1/error_generic/cw/005_n001597_Chris_Duhon/0003.tiff,0.005,0.003452,1503,6017,0.44297581911087036,0.0626935064792633
cw_linf,10,0.01,False,none,-1,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0004.tiff,dataset/attacks/NN1/error_generic/cw/005_n001597_Chris_Duhon/0004.tiff,0.005,0.00385,1503,5078,0.6542696356773376,0.23093026876449585
cw_linf,10,0.01,False,none,-1,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0005.tiff,dataset/attacks/NN1/error_generic/cw/005_n001597_Chris_Duhon/0005.tiff,0.005,0.004089,1503,5078,0.6064509749412537,0.11023139953613281
cw_linf,10,0.01,False,none,-1,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0006.tiff,dataset/attacks/NN1/error_generic/cw/005_n001597_Chris_Duhon/0006.tiff,0.005,0.004164,1503,3392,0.7119965553283691,0.09426403790712357
cw_linf,10,0.01,False,none,-1,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0007.tiff,dataset/attacks/NN1/error_generic/cw/005_n001597_Chris_Duhon/0007.tiff,0.005,0.004356,1503,5078,0.8442481160163879,0.29862093925476074
cw_linf,10,0.01,False,none,-1,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0008.tiff,dataset/attacks/NN1/error_generic/cw/005_n001597_Chris_Duhon/0008.tiff,0.005,0.003234,1503,513,0.4408934414386749,0.045302532613277435
cw_linf,10,0.01,False,none,-1,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0009.tiff,dataset/attacks/NN1/error_generic/cw/005_n001597_Chris_Duhon/0009.tiff,0.005,0.00392,1503,3392,0.19072876870632172,0.0011555058881640434
cw_linf,10,0.01,False,none,-1,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0000.tiff,dataset/attacks/NN1/error_generic/cw/006_n003512_H_ctor_Mancilla/0000.tiff,0.005,0.00376,3281,2534,0.45217961072921753,0.0031874957494437695
cw_linf,10,0.01,False,none,-1,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0001.tiff,dataset/attacks/NN1/error_generic/cw/006_n003512_H_ctor_Mancilla/0001.tiff,0.010006,0.006215,3281,1928,0.8973061442375183,0.17435939610004425
cw_linf,10,0.01,False,none,-1,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0002.tiff,dataset/attacks/NN1/error_generic/cw/006_n003512_H_ctor_Mancilla/0002.tiff,0.005,0.00401,3281,1928,0.9252263307571411,0.27915167808532715
cw_linf,10,0.01,False,none,-1,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0003.tiff,dataset/attacks/NN1/error_generic/cw/006_n003512_H_ctor_Mancilla/0003.tiff,0.005,0.004143,3281,1928,0.7638267874717712,0.11745041608810425
cw_linf,10,0.01,False,none,-1,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0004.tiff,dataset/attacks/NN1/error_generic/cw/006_n003512_H_ctor_Mancilla/0004.tiff,0.005,0.00357,3281,6877,0.23394176363945007,0.0005499763647094369
cw_linf,10,0.01,False,none,-1,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0005.tiff,dataset/attacks/NN1/error_generic/cw/006_n003512_H_ctor_Mancilla/0005.tiff,0.005,0.003142,3281,5123,0.5968278646469116,0.07339581847190857
cw_linf,10,0.01,False,none,-1,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0006.tiff,dataset/attacks/NN1/error_generic/cw/006_n003512_H_ctor_Mancilla/0006.tiff,0.005,0.004336,3281,1928,0.6406235098838806,0.01184364315122366
cw_linf,10,0.01,False,none,-1,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0007.tiff,dataset/attacks/NN1/error_generic/cw/006_n003512_H_ctor_Mancilla/0007.tiff,0.005,0.002928,3281,8242,0.0868898332118988,0.0025242469273507595
cw_linf,10,0.01,False,none,-1,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0008.tiff,dataset/attacks/NN1/error_generic/cw/006_n003512_H_ctor_Mancilla/0008.tiff,0.005,0.003692,3281,2914,0.8608134388923645,0.11788562685251236
cw_linf,10,0.01,False,none,-1,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0009.tiff,dataset/attacks/NN1/error_generic/cw/006_n003512_H_ctor_Mancilla/0009.tiff,0.005,0.003799,3281,1928,0.8642101287841797,0.2787468731403351
cw_linf,10,0.01,False,none,-1,7,n005908,"""Meera_Jasmine""",007_n005908_Meera_Jasmine,dataset/clean_cropped/NN1/007_n005908_Meera_Jasmine/0000.tiff,dataset/attacks/NN1/error_generic/cw/007_n005908_Meera_Jasmine/0000.tiff,0.010006,0.006217,5460,8271,0.8913425207138062,0.05233025550842285
