attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation
bim,0.1,True,random,6412,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,dataset/attacks/error_specific/bim/random/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,0.1,0.046813
bim,0.1,True,random,7715,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,dataset/attacks/error_specific/bim/random/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,0.1,0.049087
bim,0.1,True,random,3583,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,dataset/attacks/error_specific/bim/random/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,0.1,0.047713
bim,0.1,True,random,1660,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,dataset/attacks/error_specific/bim/random/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,0.1,0.050457
bim,0.1,True,random,591,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,dataset/attacks/error_specific/bim/random/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,0.1,0.04902
bim,0.1,True,random,4331,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,dataset/attacks/error_specific/bim/random/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,0.1,0.047707
bim,0.1,True,random,3535,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,dataset/attacks/error_specific/bim/random/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,0.1,0.04894
bim,0.1,True,random,7746,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,dataset/attacks/error_specific/bim/random/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,0.1,0.046387
bim,0.1,True,random,6034,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,dataset/attacks/error_specific/bim/random/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,0.1,0.048288
bim,0.1,True,random,2969,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,dataset/attacks/error_specific/bim/random/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,0.1,0.047526
