attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation
fgsm,0.1,True,least-likely,361,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,0.1,0.087298
fgsm,0.1,True,least-likely,4660,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,0.1,0.095354
fgsm,0.1,True,least-likely,4876,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,0.1,0.093126
fgsm,0.1,True,least-likely,4952,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,0.1,0.093514
fgsm,0.1,True,least-likely,4669,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,0.1,0.096118
fgsm,0.1,True,least-likely,8495,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,0.1,0.094003
fgsm,0.1,True,least-likely,6288,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,0.1,0.093813
fgsm,0.1,True,least-likely,5216,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,0.1,0.092105
fgsm,0.1,True,least-likely,6536,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,0.1,0.091504
fgsm,0.1,True,least-likely,7422,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,0.1,0.091122
fgsm,0.1,True,least-likely,8034,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0000.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/001_n002771_Felix_Neureuther/0000.jpg,0.1,0.091883
fgsm,0.1,True,least-likely,5020,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0001.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/001_n002771_Felix_Neureuther/0001.jpg,0.1,0.093291
fgsm,0.1,True,least-likely,8034,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0002.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/001_n002771_Felix_Neureuther/0002.jpg,0.1,0.093036
fgsm,0.1,True,least-likely,7728,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0003.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/001_n002771_Felix_Neureuther/0003.jpg,0.1,0.095993
fgsm,0.1,True,least-likely,2900,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0004.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/001_n002771_Felix_Neureuther/0004.jpg,0.1,0.093776
fgsm,0.1,True,least-likely,7562,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0005.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/001_n002771_Felix_Neureuther/0005.jpg,0.1,0.095929
fgsm,0.1,True,least-likely,3347,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0006.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/001_n002771_Felix_Neureuther/0006.jpg,0.1,0.09227
fgsm,0.1,True,least-likely,2319,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0008.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/001_n002771_Felix_Neureuther/0008.jpg,0.1,0.095231
fgsm,0.1,True,least-likely,3481,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0009.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/001_n002771_Felix_Neureuther/0009.jpg,0.1,0.093684
fgsm,0.1,True,least-likely,6720,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0000.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/002_n006115_Mike_Posner/0000.jpg,0.1,0.096021
fgsm,0.1,True,least-likely,4438,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0001.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/002_n006115_Mike_Posner/0001.jpg,0.1,0.09535
fgsm,0.1,True,least-likely,6773,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0002.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/002_n006115_Mike_Posner/0002.jpg,0.1,0.095128
fgsm,0.1,True,least-likely,2689,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0004.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/002_n006115_Mike_Posner/0004.jpg,0.1,0.093189
fgsm,0.1,True,least-likely,7543,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0005.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/002_n006115_Mike_Posner/0005.jpg,0.1,0.091549
fgsm,0.1,True,least-likely,6656,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0006.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/002_n006115_Mike_Posner/0006.jpg,0.1,0.09607
fgsm,0.1,True,least-likely,5706,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0007.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/002_n006115_Mike_Posner/0007.jpg,0.1,0.096248
fgsm,0.1,True,least-likely,7661,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0008.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/002_n006115_Mike_Posner/0008.jpg,0.1,0.095626
fgsm,0.1,True,least-likely,6620,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0009.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/002_n006115_Mike_Posner/0009.jpg,0.1,0.096285
fgsm,0.1,True,least-likely,1377,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0000.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/003_n006980_Philip_Michael_Thomas/0000.jpg,0.1,0.093459
fgsm,0.1,True,least-likely,1377,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0001.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_100/003_n006980_Philip_Michael_Thomas/0001.jpg,0.1,0.088449
