attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation
fgsm,0.15,True,next_best,2967,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,dataset/attacks/error_specific/fgsm/next_best/eps_0_150/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,0.15,0.126435
fgsm,0.15,True,next_best,1168,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,dataset/attacks/error_specific/fgsm/next_best/eps_0_150/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,0.15,0.137425
fgsm,0.15,True,next_best,7483,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,dataset/attacks/error_specific/fgsm/next_best/eps_0_150/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,0.15,0.138521
fgsm,0.15,True,next_best,7711,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,dataset/attacks/error_specific/fgsm/next_best/eps_0_150/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,0.15,0.137931
fgsm,0.15,True,next_best,4277,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,dataset/attacks/error_specific/fgsm/next_best/eps_0_150/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,0.15,0.143219
fgsm,0.15,True,next_best,639,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,dataset/attacks/error_specific/fgsm/next_best/eps_0_150/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,0.15,0.138903
fgsm,0.15,True,next_best,6688,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,dataset/attacks/error_specific/fgsm/next_best/eps_0_150/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,0.15,0.138049
fgsm,0.15,True,next_best,7475,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,dataset/attacks/error_specific/fgsm/next_best/eps_0_150/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,0.15,0.134765
fgsm,0.15,True,next_best,4236,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,dataset/attacks/error_specific/fgsm/next_best/eps_0_150/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,0.15,0.134469
fgsm,0.15,True,next_best,4540,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,dataset/attacks/error_specific/fgsm/next_best/eps_0_150/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,0.15,0.1321
