attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation
fgsm,0.15,True,random,4523,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_150/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,0.15,0.12727
fgsm,0.15,True,random,5743,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_150/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,0.15,0.137039
fgsm,0.15,True,random,4818,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_150/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,0.15,0.138446
fgsm,0.15,True,random,1305,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_150/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,0.15,0.138212
fgsm,0.15,True,random,6,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_150/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,0.15,0.143154
fgsm,0.15,True,random,1223,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_150/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,0.15,0.138947
fgsm,0.15,True,random,5753,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_150/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,0.15,0.1381
fgsm,0.15,True,random,6420,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_150/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,0.15,0.134646
fgsm,0.15,True,random,5154,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_150/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,0.15,0.133721
fgsm,0.15,True,random,6045,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_150/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,0.15,0.132108
fgsm,0.15,True,random,7759,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0000.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_150/001_n002771_Felix_Neureuther/0000.jpg,0.15,0.135275
fgsm,0.15,True,random,7496,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0001.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_150/001_n002771_Felix_Neureuther/0001.jpg,0.15,0.136724
fgsm,0.15,True,random,8436,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0002.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_150/001_n002771_Felix_Neureuther/0002.jpg,0.15,0.134986
fgsm,0.15,True,random,6636,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0003.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_150/001_n002771_Felix_Neureuther/0003.jpg,0.15,0.142913
fgsm,0.15,True,random,5129,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0004.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_150/001_n002771_Felix_Neureuther/0004.jpg,0.15,0.13827
