attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation
pgd,0.05,True,next_best,2967,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,dataset/attacks/NN1/error_specific/pgd/next_best/eps_0_050/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,0.05,0.025769
pgd,0.05,True,next_best,1168,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,dataset/attacks/NN1/error_specific/pgd/next_best/eps_0_050/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,0.05,0.026576
pgd,0.05,True,next_best,7483,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,dataset/attacks/NN1/error_specific/pgd/next_best/eps_0_050/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,0.05,0.026259
pgd,0.05,True,next_best,7711,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,dataset/attacks/NN1/error_specific/pgd/next_best/eps_0_050/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,0.05,0.026659
pgd,0.05,True,next_best,4277,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,dataset/attacks/NN1/error_specific/pgd/next_best/eps_0_050/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,0.05,0.026391
pgd,0.05,True,next_best,639,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,dataset/attacks/NN1/error_specific/pgd/next_best/eps_0_050/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,0.05,0.026629
pgd,0.05,True,next_best,6688,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,dataset/attacks/NN1/error_specific/pgd/next_best/eps_0_050/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,0.05,0.02742
pgd,0.05,True,next_best,7475,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,dataset/attacks/NN1/error_specific/pgd/next_best/eps_0_050/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,0.05,0.026302
pgd,0.05,True,next_best,4236,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,dataset/attacks/NN1/error_specific/pgd/next_best/eps_0_050/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,0.05,0.026343
pgd,0.05,True,next_best,4540,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,dataset/attacks/NN1/error_specific/pgd/next_best/eps_0_050/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,0.05,0.026255
pgd,0.05,True,next_best,375,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0000.jpg,dataset/attacks/NN1/error_specific/pgd/next_best/eps_0_050/001_n002771_Felix_Neureuther/0000.jpg,0.05,0.026919
pgd,0.05,True,next_best,4240,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0001.jpg,dataset/attacks/NN1/error_specific/pgd/next_best/eps_0_050/001_n002771_Felix_Neureuther/0001.jpg,0.05,0.026215
pgd,0.05,True,next_best,5566,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0002.jpg,dataset/attacks/NN1/error_specific/pgd/next_best/eps_0_050/001_n002771_Felix_Neureuther/0002.jpg,0.05,0.027085
pgd,0.05,True,next_best,4240,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0003.jpg,dataset/attacks/NN1/error_specific/pgd/next_best/eps_0_050/001_n002771_Felix_Neureuther/0003.jpg,0.05,0.027051
