attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation
pgd,0.02,True,random,664,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,dataset/attacks/NN1/error_specific/pgd/random/eps_0_020/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,0.02,0.01241
pgd,0.02,True,random,5347,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,dataset/attacks/NN1/error_specific/pgd/random/eps_0_020/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,0.02,0.011739
pgd,0.02,True,random,5862,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,dataset/attacks/NN1/error_specific/pgd/random/eps_0_020/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,0.02,0.011745
pgd,0.02,True,random,1332,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,dataset/attacks/NN1/error_specific/pgd/random/eps_0_020/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,0.02,0.012789
pgd,0.02,True,random,2071,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,dataset/attacks/NN1/error_specific/pgd/random/eps_0_020/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,0.02,0.01164
pgd,0.02,True,random,1818,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,dataset/attacks/NN1/error_specific/pgd/random/eps_0_020/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,0.02,0.012172
pgd,0.02,True,random,886,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,dataset/attacks/NN1/error_specific/pgd/random/eps_0_020/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,0.02,0.013062
pgd,0.02,True,random,5874,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,dataset/attacks/NN1/error_specific/pgd/random/eps_0_020/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,0.02,0.012157
pgd,0.02,True,random,6633,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,dataset/attacks/NN1/error_specific/pgd/random/eps_0_020/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,0.02,0.011797
pgd,0.02,True,random,6850,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,dataset/attacks/NN1/error_specific/pgd/random/eps_0_020/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,0.02,0.012235
pgd,0.02,True,random,5574,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0000.jpg,dataset/attacks/NN1/error_specific/pgd/random/eps_0_020/001_n002771_Felix_Neureuther/0000.jpg,0.02,0.013501
pgd,0.02,True,random,7578,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0001.jpg,dataset/attacks/NN1/error_specific/pgd/random/eps_0_020/001_n002771_Felix_Neureuther/0001.jpg,0.02,0.01218
pgd,0.02,True,random,4437,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0002.jpg,dataset/attacks/NN1/error_specific/pgd/random/eps_0_020/001_n002771_Felix_Neureuther/0002.jpg,0.02,0.013286
pgd,0.02,True,random,2062,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0003.jpg,dataset/attacks/NN1/error_specific/pgd/random/eps_0_020/001_n002771_Felix_Neureuther/0003.jpg,0.02,0.012848
pgd,0.02,True,random,7247,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0004.jpg,dataset/attacks/NN1/error_specific/pgd/random/eps_0_020/001_n002771_Felix_Neureuther/0004.jpg,0.02,0.012333
pgd,0.02,True,random,2398,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0005.jpg,dataset/attacks/NN1/error_specific/pgd/random/eps_0_020/001_n002771_Felix_Neureuther/0005.jpg,0.02,0.012046
pgd,0.02,True,random,8382,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0006.jpg,dataset/attacks/NN1/error_specific/pgd/random/eps_0_020/001_n002771_Felix_Neureuther/0006.jpg,0.02,0.013195
