attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation
fgsm,0.1,False,-1,-1,0,n007726,Samantha_Ruth_Prabhu,000_n007726_Samantha_Ruth_Prabhu,dataset/clean/test/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0000_adv.png,0.1,0.08507
fgsm,0.1,False,-1,-1,0,n007726,Samantha_Ruth_Prabhu,000_n007726_Samantha_Ruth_Prabhu,dataset/clean/test/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0001_adv.png,0.1,0.094894
fgsm,0.1,False,-1,-1,0,n007726,Samantha_Ruth_Prabhu,000_n007726_Samantha_Ruth_Prabhu,dataset/clean/test/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0002_adv.png,0.1,0.083833
fgsm,0.1,False,-1,-1,0,n007726,Samantha_Ruth_Prabhu,000_n007726_Samantha_Ruth_Prabhu,dataset/clean/test/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0003_adv.png,0.1,0.094851
fgsm,0.1,False,-1,-1,0,n007726,Samantha_Ruth_Prabhu,000_n007726_Samantha_Ruth_Prabhu,dataset/clean/test/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0004_adv.png,0.1,0.095863
fgsm,0.1,False,-1,-1,0,n007726,Samantha_Ruth_Prabhu,000_n007726_Samantha_Ruth_Prabhu,dataset/clean/test/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0005_adv.png,0.1,0.095167
fgsm,0.1,False,-1,-1,0,n007726,Samantha_Ruth_Prabhu,000_n007726_Samantha_Ruth_Prabhu,dataset/clean/test/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0006_adv.png,0.1,0.092634
fgsm,0.1,False,-1,-1,0,n007726,Samantha_Ruth_Prabhu,000_n007726_Samantha_Ruth_Prabhu,dataset/clean/test/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0007_adv.png,0.1,0.090095
fgsm,0.1,False,-1,-1,0,n007726,Samantha_Ruth_Prabhu,000_n007726_Samantha_Ruth_Prabhu,dataset/clean/test/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0008_adv.png,0.1,0.09032
fgsm,0.1,False,-1,-1,0,n007726,Samantha_Ruth_Prabhu,000_n007726_Samantha_Ruth_Prabhu,dataset/clean/test/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/000_n007726_Samantha_Ruth_Prabhu/0009_adv.png,0.1,0.088697
fgsm,0.1,False,-1,-1,1,n002771,Felix_Neureuther,001_n002771_Felix_Neureuther,dataset/clean/test/001_n002771_Felix_Neureuther/0000.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/001_n002771_Felix_Neureuther/0000_adv.png,0.1,0.088241
fgsm,0.1,False,-1,-1,1,n002771,Felix_Neureuther,001_n002771_Felix_Neureuther,dataset/clean/test/001_n002771_Felix_Neureuther/0001.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/001_n002771_Felix_Neureuther/0001_adv.png,0.1,0.093017
fgsm,0.1,False,-1,-1,1,n002771,Felix_Neureuther,001_n002771_Felix_Neureuther,dataset/clean/test/001_n002771_Felix_Neureuther/0002.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/001_n002771_Felix_Neureuther/0002_adv.png,0.1,0.07838
fgsm,0.1,False,-1,-1,1,n002771,Felix_Neureuther,001_n002771_Felix_Neureuther,dataset/clean/test/001_n002771_Felix_Neureuther/0003.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/001_n002771_Felix_Neureuther/0003_adv.png,0.1,0.091805
fgsm,0.1,False,-1,-1,1,n002771,Felix_Neureuther,001_n002771_Felix_Neureuther,dataset/clean/test/001_n002771_Felix_Neureuther/0004.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/001_n002771_Felix_Neureuther/0004_adv.png,0.1,0.091954
fgsm,0.1,False,-1,-1,1,n002771,Felix_Neureuther,001_n002771_Felix_Neureuther,dataset/clean/test/001_n002771_Felix_Neureuther/0005.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/001_n002771_Felix_Neureuther/0005_adv.png,0.1,0.089663
fgsm,0.1,False,-1,-1,1,n002771,Felix_Neureuther,001_n002771_Felix_Neureuther,dataset/clean/test/001_n002771_Felix_Neureuther/0006.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/001_n002771_Felix_Neureuther/0006_adv.png,0.1,0.091037
fgsm,0.1,False,-1,-1,1,n002771,Felix_Neureuther,001_n002771_Felix_Neureuther,dataset/clean/test/001_n002771_Felix_Neureuther/0007.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/001_n002771_Felix_Neureuther/0007_adv.png,0.1,0.092824
fgsm,0.1,False,-1,-1,1,n002771,Felix_Neureuther,001_n002771_Felix_Neureuther,dataset/clean/test/001_n002771_Felix_Neureuther/0008.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/001_n002771_Felix_Neureuther/0008_adv.png,0.1,0.09456
fgsm,0.1,False,-1,-1,1,n002771,Felix_Neureuther,001_n002771_Felix_Neureuther,dataset/clean/test/001_n002771_Felix_Neureuther/0009.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/001_n002771_Felix_Neureuther/0009_adv.png,0.1,0.093596
fgsm,0.1,False,-1,-1,2,n006115,Mike_Posner,002_n006115_Mike_Posner,dataset/clean/test/002_n006115_Mike_Posner/0000.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/002_n006115_Mike_Posner/0000_adv.png,0.1,0.09301
fgsm,0.1,False,-1,-1,2,n006115,Mike_Posner,002_n006115_Mike_Posner,dataset/clean/test/002_n006115_Mike_Posner/0001.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/002_n006115_Mike_Posner/0001_adv.png,0.1,0.093932
fgsm,0.1,False,-1,-1,2,n006115,Mike_Posner,002_n006115_Mike_Posner,dataset/clean/test/002_n006115_Mike_Posner/0002.jpg,dataset/attacks/error_generic/fgsm/eps_0_100/002_n006115_Mike_Posner/0002_adv.png,0.1,0.092431
