attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation
fgsm,0.05,True,random,3628,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,0.05,0.045221
fgsm,0.05,True,random,4718,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,0.05,0.048092
fgsm,0.05,True,random,748,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,0.05,0.047005
fgsm,0.05,True,random,2334,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,0.05,0.047269
fgsm,0.05,True,random,5402,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,0.05,0.048135
fgsm,0.05,True,random,2776,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,0.05,0.047551
fgsm,0.05,True,random,262,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,0.05,0.047721
fgsm,0.05,True,random,4711,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,0.05,0.047211
fgsm,0.05,True,random,1299,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,0.05,0.046997
fgsm,0.05,True,random,1309,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,0.05,0.047349
fgsm,0.05,True,random,7028,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0000.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/001_n002771_Felix_Neureuther/0000.jpg,0.05,0.046953
fgsm,0.05,True,random,3237,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0001.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/001_n002771_Felix_Neureuther/0001.jpg,0.05,0.047395
fgsm,0.05,True,random,1894,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0002.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/001_n002771_Felix_Neureuther/0002.jpg,0.05,0.047251
fgsm,0.05,True,random,4829,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0003.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/001_n002771_Felix_Neureuther/0003.jpg,0.05,0.048089
fgsm,0.05,True,random,2666,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0004.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/001_n002771_Felix_Neureuther/0004.jpg,0.05,0.047731
fgsm,0.05,True,random,2538,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0005.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/001_n002771_Felix_Neureuther/0005.jpg,0.05,0.048092
fgsm,0.05,True,random,3474,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0006.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/001_n002771_Felix_Neureuther/0006.jpg,0.05,0.047125
fgsm,0.05,True,random,1125,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0008.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/001_n002771_Felix_Neureuther/0008.jpg,0.05,0.04812
fgsm,0.05,True,random,1119,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0009.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/001_n002771_Felix_Neureuther/0009.jpg,0.05,0.047363
fgsm,0.05,True,random,8476,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0000.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/002_n006115_Mike_Posner/0000.jpg,0.05,0.048084
fgsm,0.05,True,random,8229,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0001.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/002_n006115_Mike_Posner/0001.jpg,0.05,0.048054
fgsm,0.05,True,random,7555,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0002.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/002_n006115_Mike_Posner/0002.jpg,0.05,0.047885
fgsm,0.05,True,random,3759,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0004.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/002_n006115_Mike_Posner/0004.jpg,0.05,0.047347
fgsm,0.05,True,random,4503,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0005.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/002_n006115_Mike_Posner/0005.jpg,0.05,0.046513
fgsm,0.05,True,random,7993,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0006.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/002_n006115_Mike_Posner/0006.jpg,0.05,0.048143
fgsm,0.05,True,random,263,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0007.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/002_n006115_Mike_Posner/0007.jpg,0.05,0.048143
fgsm,0.05,True,random,8190,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0008.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_050/002_n006115_Mike_Posner/0008.jpg,0.05,0.048113
