attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation
fgsm,0.15,True,rr_extremes,4752,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0000.jpg,dataset/attacks/error_specific/fgsm/rr_extremes/eps_0_150/004_n002295_Drake/0000_to_4752.jpg,0.15,0.139878
fgsm,0.15,True,rr_extremes,325,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0000.jpg,dataset/attacks/error_specific/fgsm/rr_extremes/eps_0_150/004_n002295_Drake/0000_to_325.jpg,0.15,0.140071
fgsm,0.15,True,rr_extremes,86,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0000.jpg,dataset/attacks/error_specific/fgsm/rr_extremes/eps_0_150/004_n002295_Drake/0000_to_86.jpg,0.15,0.139886
fgsm,0.15,True,rr_extremes,5406,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0000.jpg,dataset/attacks/error_specific/fgsm/rr_extremes/eps_0_150/004_n002295_Drake/0000_to_5406.jpg,0.15,0.139838
fgsm,0.15,True,rr_extremes,1471,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0000.jpg,dataset/attacks/error_specific/fgsm/rr_extremes/eps_0_150/004_n002295_Drake/0000_to_1471.jpg,0.15,0.140105
fgsm,0.15,True,rr_extremes,3126,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0000.jpg,dataset/attacks/error_specific/fgsm/rr_extremes/eps_0_150/004_n002295_Drake/0000_to_3126.jpg,0.15,0.14001
fgsm,0.15,True,rr_extremes,3719,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0000.jpg,dataset/attacks/error_specific/fgsm/rr_extremes/eps_0_150/004_n002295_Drake/0000_to_3719.jpg,0.15,0.140026
fgsm,0.15,True,rr_extremes,5308,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0000.jpg,dataset/attacks/error_specific/fgsm/rr_extremes/eps_0_150/004_n002295_Drake/0000_to_5308.jpg,0.15,0.139821
fgsm,0.15,True,rr_extremes,5325,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0000.jpg,dataset/attacks/error_specific/fgsm/rr_extremes/eps_0_150/004_n002295_Drake/0000_to_5325.jpg,0.15,0.139958
fgsm,0.15,True,rr_extremes,4752,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0001.jpg,dataset/attacks/error_specific/fgsm/rr_extremes/eps_0_150/004_n002295_Drake/0001_to_4752.jpg,0.15,0.141851
fgsm,0.15,True,rr_extremes,325,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0001.jpg,dataset/attacks/error_specific/fgsm/rr_extremes/eps_0_150/004_n002295_Drake/0001_to_325.jpg,0.15,0.141713
fgsm,0.15,True,rr_extremes,86,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0001.jpg,dataset/attacks/error_specific/fgsm/rr_extremes/eps_0_150/004_n002295_Drake/0001_to_86.jpg,0.15,0.141733
fgsm,0.15,True,rr_extremes,5406,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0001.jpg,dataset/attacks/error_specific/fgsm/rr_extremes/eps_0_150/004_n002295_Drake/0001_to_5406.jpg,0.15,0.141947
fgsm,0.15,True,rr_extremes,1471,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0001.jpg,dataset/attacks/error_specific/fgsm/rr_extremes/eps_0_150/004_n002295_Drake/0001_to_1471.jpg,0.15,0.141733
fgsm,0.15,True,rr_extremes,3126,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0001.jpg,dataset/attacks/error_specific/fgsm/rr_extremes/eps_0_150/004_n002295_Drake/0001_to_3126.jpg,0.15,0.141726
fgsm,0.15,True,rr_extremes,3719,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0001.jpg,dataset/attacks/error_specific/fgsm/rr_extremes/eps_0_150/004_n002295_Drake/0001_to_3719.jpg,0.15,0.141789
fgsm,0.15,True,rr_extremes,5308,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0001.jpg,dataset/attacks/error_specific/fgsm/rr_extremes/eps_0_150/004_n002295_Drake/0001_to_5308.jpg,0.15,0.14186
fgsm,0.15,True,rr_extremes,5325,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0001.jpg,dataset/attacks/error_specific/fgsm/rr_extremes/eps_0_150/004_n002295_Drake/0001_to_5325.jpg,0.15,0.14191
fgsm,0.15,True,rr_extremes,4752,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0002.jpg,dataset/attacks/error_specific/fgsm/rr_extremes/eps_0_150/004_n002295_Drake/0002_to_4752.jpg,0.15,0.137637
fgsm,0.15,True,rr_extremes,325,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0002.jpg,dataset/attacks/error_specific/fgsm/rr_extremes/eps_0_150/004_n002295_Drake/0002_to_325.jpg,0.15,0.13742
