split,dataset_label,identity_id,identity_name,source_path,image_path
test,0,n007726,"""Samantha_Ruth_Prabhu""",train/n007726/0323_01.jpg,dataset/clean/test/000_n007726_Samantha_Ruth_Prabhu/0000.jpg
test,0,n007726,"""Samantha_Ruth_Prabhu""",train/n007726/0443_01.jpg,dataset/clean/test/000_n007726_Samantha_Ruth_Prabhu/0001.jpg
test,0,n007726,"""Samantha_Ruth_Prabhu""",train/n007726/0497_01.jpg,dataset/clean/test/000_n007726_Samantha_Ruth_Prabhu/0002.jpg
test,0,n007726,"""Samantha_Ruth_Prabhu""",train/n007726/0501_01.jpg,dataset/clean/test/000_n007726_Samantha_Ruth_Prabhu/0003.jpg
test,0,n007726,"""Samantha_Ruth_Prabhu""",train/n007726/0499_01.jpg,dataset/clean/test/000_n007726_Samantha_Ruth_Prabhu/0004.jpg
test,0,n007726,"""Samantha_Ruth_Prabhu""",train/n007726/0412_01.jpg,dataset/clean/test/000_n007726_Samantha_Ruth_Prabhu/0005.jpg
test,0,n007726,"""Samantha_Ruth_Prabhu""",train/n007726/0290_01.jpg,dataset/clean/test/000_n007726_Samantha_Ruth_Prabhu/0006.jpg
test,0,n007726,"""Samantha_Ruth_Prabhu""",train/n007726/0257_02.jpg,dataset/clean/test/000_n007726_Samantha_Ruth_Prabhu/0007.jpg
test,0,n007726,"""Samantha_Ruth_Prabhu""",train/n007726/0370_01.jpg,dataset/clean/test/000_n007726_Samantha_Ruth_Prabhu/0008.jpg
test,0,n007726,"""Samantha_Ruth_Prabhu""",train/n007726/0349_01.jpg,dataset/clean/test/000_n007726_Samantha_Ruth_Prabhu/0009.jpg
test,1,n002771,"""Felix_Neureuther""",train/n002771/0199_01.jpg,dataset/clean/test/001_n002771_Felix_Neureuther/0000.jpg
test,1,n002771,"""Felix_Neureuther""",train/n002771/0342_01.jpg,dataset/clean/test/001_n002771_Felix_Neureuther/0001.jpg
test,1,n002771,"""Felix_Neureuther""",train/n002771/0148_01.jpg,dataset/clean/test/001_n002771_Felix_Neureuther/0002.jpg
test,1,n002771,"""Felix_Neureuther""",train/n002771/0037_01.jpg,dataset/clean/test/001_n002771_Felix_Neureuther/0003.jpg
test,1,n002771,"""Felix_Neureuther""",train/n002771/0333_01.jpg,dataset/clean/test/001_n002771_Felix_Neureuther/0004.jpg
test,1,n002771,"""Felix_Neureuther""",train/n002771/0323_01.jpg,dataset/clean/test/001_n002771_Felix_Neureuther/0005.jpg
test,1,n002771,"""Felix_Neureuther""",train/n002771/0112_01.jpg,dataset/clean/test/001_n002771_Felix_Neureuther/0006.jpg
test,1,n002771,"""Felix_Neureuther""",train/n002771/0091_01.jpg,dataset/clean/test/001_n002771_Felix_Neureuther/0007.jpg
test,1,n002771,"""Felix_Neureuther""",train/n002771/0029_01.jpg,dataset/clean/test/001_n002771_Felix_Neureuther/0008.jpg
test,1,n002771,"""Felix_Neureuther""",train/n002771/0108_01.jpg,dataset/clean/test/001_n002771_Felix_Neureuther/0009.jpg
test,2,n006115,"""Mike_Posner""",train/n006115/0021_01.jpg,dataset/clean/test/002_n006115_Mike_Posner/0000.jpg
test,2,n006115,"""Mike_Posner""",train/n006115/0266_01.jpg,dataset/clean/test/002_n006115_Mike_Posner/0001.jpg
test,2,n006115,"""Mike_Posner""",train/n006115/0113_01.jpg,dataset/clean/test/002_n006115_Mike_Posner/0002.jpg
test,2,n006115,"""Mike_Posner""",train/n006115/0106_01.jpg,dataset/clean/test/002_n006115_Mike_Posner/0003.jpg
test,2,n006115,"""Mike_Posner""",train/n006115/0405_01.jpg,dataset/clean/test/002_n006115_Mike_Posner/0004.jpg
test,2,n006115,"""Mike_Posner""",train/n006115/0406_01.jpg,dataset/clean/test/002_n006115_Mike_Posner/0005.jpg
test,2,n006115,"""Mike_Posner""",train/n006115/0205_01.jpg,dataset/clean/test/002_n006115_Mike_Posner/0006.jpg
test,2,n006115,"""Mike_Posner""",train/n006115/0093_01.jpg,dataset/clean/test/002_n006115_Mike_Posner/0007.jpg
test,2,n006115,"""Mike_Posner""",train/n006115/0039_01.jpg,dataset/clean/test/002_n006115_Mike_Posner/0008.jpg
test,2,n006115,"""Mike_Posner""",train/n006115/0059_01.jpg,dataset/clean/test/002_n006115_Mike_Posner/0009.jpg
test,3,n006980,"""Philip_Michael_Thomas""",train/n006980/0170_01.jpg,dataset/clean/test/003_n006980_Philip_Michael_Thomas/0000.jpg
test,3,n006980,"""Philip_Michael_Thomas""",train/n006980/0109_03.jpg,dataset/clean/test/003_n006980_Philip_Michael_Thomas/0001.jpg
test,3,n006980,"""Philip_Michael_Thomas""",train/n006980/0247_03.jpg,dataset/clean/test/003_n006980_Philip_Michael_Thomas/0002.jpg
test,3,n006980,"""Philip_Michael_Thomas""",train/n006980/0095_01.jpg,dataset/clean/test/003_n006980_Philip_Michael_Thomas/0003.jpg
test,3,n006980,"""Philip_Michael_Thomas""",train/n006980/0091_01.jpg,dataset/clean/test/003_n006980_Philip_Michael_Thomas/0004.jpg
test,3,n006980,"""Philip_Michael_Thomas""",train/n006980/0076_01.jpg,dataset/clean/test/003_n006980_Philip_Michael_Thomas/0005.jpg
test,3,n006980,"""Philip_Michael_Thomas""",train/n006980/0169_02.jpg,dataset/clean/test/003_n006980_Philip_Michael_Thomas/0006.jpg
