attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,clean_pred_class,adv_pred_class,clean_class_confidence
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,0.025,0.024043,3894,3894,0.007428423035889864
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,0.025,0.024995,3894,3894,0.00755481980741024
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,0.025,0.024663,3894,3894,0.008002026006579399
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,0.025,0.02479,3894,3894,0.007672937121242285
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,0.025,0.025,3894,3894,0.008336545899510384
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,0.025,0.024913,3894,3894,0.008014749735593796
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,0.025,0.024936,3894,3894,0.007811874151229858
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,0.025,0.024848,3894,3894,0.00822016503661871
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,0.025,0.02476,3894,3894,0.007361518684774637
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,0.025,0.02485,3894,3894,0.007728515192866325
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0000.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0000.jpg,0.025,0.024737,3894,3894,0.006903229281306267
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0001.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0001.jpg,0.025,0.024818,3894,3894,0.008003685623407364
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0002.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0002.jpg,0.025,0.024693,3894,3894,0.006403281819075346
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0003.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0003.jpg,0.025,0.024989,3894,3894,0.007620501331984997
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0004.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0004.jpg,0.025,0.024884,3894,3894,0.00781959854066372
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0005.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0005.jpg,0.025,0.024993,3894,3894,0.008057215251028538
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0006.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0006.jpg,0.025,0.024747,3894,3894,0.007278694771230221
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0008.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0008.jpg,0.025,0.025,3894,3894,0.0076560103334486485
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0009.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0009.jpg,0.025,0.024792,3894,3894,0.007658345624804497
fgsm,0.025,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0000.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/002_n006115_Mike_Posner/0000.jpg,0.025,0.02497,3894,3894,0.007807320449501276
fgsm,0.025,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0001.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/002_n006115_Mike_Posner/0001.jpg,0.025,0.024993,3894,3894,0.007312336936593056
fgsm,0.025,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0002.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/002_n006115_Mike_Posner/0002.jpg,0.025,0.024952,3894,3894,0.006776242051273584
fgsm,0.025,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0004.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/002_n006115_Mike_Posner/0004.jpg,0.025,0.024833,3894,3894,0.007658337242901325
fgsm,0.025,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0005.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/002_n006115_Mike_Posner/0005.jpg,0.025,0.024447,3894,3894,0.007999850437045097
fgsm,0.025,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0006.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/002_n006115_Mike_Posner/0006.jpg,0.025,0.025,3894,3894,0.008249348029494286
fgsm,0.025,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0007.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/002_n006115_Mike_Posner/0007.jpg,0.025,0.025,3894,3894,0.00848131813108921
fgsm,0.025,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0008.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/002_n006115_Mike_Posner/0008.jpg,0.025,0.024992,3894,3894,0.0075866892002522945
fgsm,0.025,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0009.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/002_n006115_Mike_Posner/0009.jpg,0.025,0.025,3894,3894,0.0083354152739048
fgsm,0.025,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0000.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/003_n006980_Philip_Michael_Thomas/0000.jpg,0.025,0.024915,3894,3894,0.007173328194767237
fgsm,0.025,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0001.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/003_n006980_Philip_Michael_Thomas/0001.jpg,0.025,0.024391,3894,3894,0.008163079619407654
fgsm,0.025,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0002.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/003_n006980_Philip_Michael_Thomas/0002.jpg,0.025,0.024614,3894,3894,0.008019711822271347
fgsm,0.025,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0003.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/003_n006980_Philip_Michael_Thomas/0003.jpg,0.025,0.02469,3894,3894,0.006677359342575073
fgsm,0.025,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0004.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/003_n006980_Philip_Michael_Thomas/0004.jpg,0.025,0.024994,3894,3894,0.007472462486475706
fgsm,0.025,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0005.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/003_n006980_Philip_Michael_Thomas/0005.jpg,0.025,0.025,3894,3894,0.007684148848056793
fgsm,0.025,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0007.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/003_n006980_Philip_Michael_Thomas/0007.jpg,0.025,0.024939,3894,3894,0.008098705671727657
fgsm,0.025,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0009.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/003_n006980_Philip_Michael_Thomas/0009.jpg,0.025,0.024997,3894,3894,0.007534262724220753
fgsm,0.025,False,none,-1,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0000.jpg,dataset/attacks/NN2/error_generic/fgsm/eps_0_025/004_n002295_Drake/0000.jpg,0.025,0.024849,3894,3894,0.0077048409730196
