attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,clean_pred_class,adv_pred_class,clean_class_confidence
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,0.025,0.023172,7185,2937,0.0001592822518432513
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,0.025,0.024062,7185,5353,2.2188532966538332e-07
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,0.025,0.02369,7185,1662,0.00013443153875414282
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,0.025,0.023801,7185,7391,4.071631337865256e-05
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,0.025,0.024071,7185,3218,3.5313039461470908e-06
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,0.025,0.023942,7185,5832,4.86306603875164e-08
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,0.025,0.023993,7185,6553,0.0032714500557631254
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,0.025,0.023869,7185,850,4.975974547960504e-07
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,0.025,0.023814,7185,7715,1.0608974889692036e-06
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,0.025,0.023987,7185,4540,0.0003558821917977184
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0000.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0000.tiff,0.025,0.023778,2585,3482,0.0001677585969446227
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0001.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0001.tiff,0.025,0.023838,2585,8264,9.574602017892175e-07
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0002.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0002.tiff,0.025,0.023837,2585,5566,0.00032920046942308545
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0003.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0003.tiff,0.025,0.024062,2585,2029,0.00032923041726462543
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0004.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0004.tiff,0.025,0.024011,2585,8478,7.743179594399408e-06
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0005.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0005.tiff,0.025,0.024065,2585,6468,1.9371038888493786e-06
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0006.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0006.tiff,0.025,0.023857,2585,4047,4.843486021854915e-05
