attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,clean_pred_class,adv_pred_class,target_confidence
bim,0.025,True,next_best,2967,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,0.025,0.012787,7185,2967,0.9956627488136292
bim,0.025,True,next_best,1168,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,0.025,0.012774,7185,1168,0.9995928406715393
bim,0.025,True,next_best,7483,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,0.025,0.013024,7185,7483,0.9977082014083862
bim,0.025,True,next_best,7711,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,0.025,0.013669,7185,7711,0.9958797693252563
bim,0.025,True,next_best,4277,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,0.025,0.01174,7185,4277,0.9966942071914673
bim,0.025,True,next_best,639,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,0.025,0.01282,7185,639,0.9985896944999695
bim,0.025,True,next_best,6688,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,0.025,0.014077,7185,6688,0.9937041401863098
bim,0.025,True,next_best,7475,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,0.025,0.011932,7185,7475,0.9961642026901245
bim,0.025,True,next_best,4236,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,0.025,0.012733,7185,4236,0.9990383386611938
bim,0.025,True,next_best,4540,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,0.025,0.013482,7185,4540,0.9906737208366394
bim,0.025,True,next_best,375,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0000.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/001_n002771_Felix_Neureuther/0000.tiff,0.025,0.014501,2585,375,0.9925563931465149
bim,0.025,True,next_best,4240,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0001.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/001_n002771_Felix_Neureuther/0001.tiff,0.025,0.012657,2585,4240,0.9992377758026123
bim,0.025,True,next_best,5566,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0002.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/001_n002771_Felix_Neureuther/0002.tiff,0.025,0.014301,2585,5566,0.9989877343177795
bim,0.025,True,next_best,4240,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0003.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/001_n002771_Felix_Neureuther/0003.tiff,0.025,0.01383,2585,4240,0.9988929629325867
bim,0.025,True,next_best,2349,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0004.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/001_n002771_Felix_Neureuther/0004.tiff,0.025,0.012707,2585,2349,0.9994845390319824
bim,0.025,True,next_best,3525,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0005.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/001_n002771_Felix_Neureuther/0005.tiff,0.025,0.012379,2585,3525,0.9988018274307251
bim,0.025,True,next_best,375,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0006.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/001_n002771_Felix_Neureuther/0006.tiff,0.025,0.01438,2585,375,0.988973081111908
bim,0.025,True,next_best,5569,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0008.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/001_n002771_Felix_Neureuther/0008.tiff,0.025,0.014272,2585,5569,0.9968096613883972
bim,0.025,True,next_best,2349,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0009.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/001_n002771_Felix_Neureuther/0009.tiff,0.025,0.013018,2585,2349,0.9995284080505371
bim,0.025,True,next_best,4956,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0000.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/002_n006115_Mike_Posner/0000.tiff,0.025,0.012929,5658,4956,0.9987927675247192
bim,0.025,True,next_best,3994,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0001.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/002_n006115_Mike_Posner/0001.tiff,0.025,0.01268,5658,3994,0.9982779026031494
bim,0.025,True,next_best,1818,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0002.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/002_n006115_Mike_Posner/0002.tiff,0.025,0.014316,5658,1818,0.9992948770523071
bim,0.025,True,next_best,8173,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0004.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/002_n006115_Mike_Posner/0004.tiff,0.025,0.013397,5658,8173,0.9987179040908813
bim,0.025,True,next_best,1005,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0005.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/002_n006115_Mike_Posner/0005.tiff,0.025,0.012176,5658,1005,0.9987336993217468
bim,0.025,True,next_best,7440,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0006.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/002_n006115_Mike_Posner/0006.tiff,0.025,0.012691,5658,7440,0.9994003772735596
bim,0.025,True,next_best,5718,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0007.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/002_n006115_Mike_Posner/0007.tiff,0.025,0.011791,5658,5718,0.992470383644104
bim,0.025,True,next_best,1655,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0008.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/002_n006115_Mike_Posner/0008.tiff,0.025,0.013729,5658,1655,0.9975451827049255
