attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,clean_pred_class,adv_pred_class,target_confidence
bim,0.025,True,random,8444,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,dataset/attacks/error_specific/bim/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,0.025,0.015599,7185,8444,0.41221386194229126
bim,0.025,True,random,3900,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,dataset/attacks/error_specific/bim/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,0.025,0.013859,1168,3900,0.6188533306121826
bim,0.025,True,random,353,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,dataset/attacks/error_specific/bim/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,0.025,0.014574,7185,353,0.39898481965065
bim,0.025,True,random,393,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,dataset/attacks/error_specific/bim/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,0.025,0.015917,7185,393,0.4147419035434723
bim,0.025,True,random,7778,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,dataset/attacks/error_specific/bim/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,0.025,0.013561,7185,7778,0.4450528025627136
bim,0.025,True,random,6258,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,dataset/attacks/error_specific/bim/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,0.025,0.014082,7185,6258,0.9647319912910461
bim,0.025,True,random,6736,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,dataset/attacks/error_specific/bim/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,0.025,0.015569,7185,6736,0.45055660605430603
bim,0.025,True,random,8371,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,dataset/attacks/error_specific/bim/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,0.025,0.013419,7185,8371,0.9184868931770325
bim,0.025,True,random,3748,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,dataset/attacks/error_specific/bim/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,0.025,0.013312,7185,3748,0.21324852108955383
bim,0.025,True,random,8337,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,dataset/attacks/error_specific/bim/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,0.025,0.014334,7185,8337,0.8343160152435303
