attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,clean_pred_class,adv_pred_class,target_confidence
fgsm,0.025,True,next_best,2967,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.npy,dataset/attacks/NN1/error_specific/fgsm/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0000.npy,0.025,0.023167,7185,2967,0.281872421503067
fgsm,0.025,True,next_best,1168,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.npy,dataset/attacks/NN1/error_specific/fgsm/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0001.npy,0.025,0.024068,7185,1168,0.944407045841217
fgsm,0.025,True,next_best,7483,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.npy,dataset/attacks/NN1/error_specific/fgsm/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0002.npy,0.025,0.023699,7185,7483,0.845829427242279
fgsm,0.025,True,next_best,7711,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.npy,dataset/attacks/NN1/error_specific/fgsm/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0003.npy,0.025,0.023796,7185,7711,0.2737027704715729
fgsm,0.025,True,next_best,4277,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.npy,dataset/attacks/NN1/error_specific/fgsm/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0004.npy,0.025,0.02407,7185,4277,0.13939233124256134
fgsm,0.025,True,next_best,639,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.npy,dataset/attacks/NN1/error_specific/fgsm/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0005.npy,0.025,0.023947,7185,639,0.9478491544723511
fgsm,0.025,True,next_best,6688,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.npy,dataset/attacks/NN1/error_specific/fgsm/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0006.npy,0.025,0.023999,7185,6688,0.7466556429862976
fgsm,0.025,True,next_best,7475,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.npy,dataset/attacks/NN1/error_specific/fgsm/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0007.npy,0.025,0.023864,7185,7475,0.13063865900039673
fgsm,0.025,True,next_best,4236,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.npy,dataset/attacks/NN1/error_specific/fgsm/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0008.npy,0.025,0.023833,7185,4236,0.6350389719009399
fgsm,0.025,True,next_best,4540,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.npy,dataset/attacks/NN1/error_specific/fgsm/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0009.npy,0.025,0.023988,7185,4540,0.7452936768531799
fgsm,0.025,True,next_best,375,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0000.npy,dataset/attacks/NN1/error_specific/fgsm/next_best/eps_0_025/001_n002771_Felix_Neureuther/0000.npy,0.025,0.023771,2585,375,0.43520739674568176
fgsm,0.025,True,next_best,4240,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0001.npy,dataset/attacks/NN1/error_specific/fgsm/next_best/eps_0_025/001_n002771_Felix_Neureuther/0001.npy,0.025,0.023837,2585,4240,0.5024774670600891
fgsm,0.025,True,next_best,5566,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0002.npy,dataset/attacks/NN1/error_specific/fgsm/next_best/eps_0_025/001_n002771_Felix_Neureuther/0002.npy,0.025,0.023834,2585,5566,0.732673168182373
fgsm,0.025,True,next_best,4240,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0003.npy,dataset/attacks/NN1/error_specific/fgsm/next_best/eps_0_025/001_n002771_Felix_Neureuther/0003.npy,0.025,0.02406,2585,4240,0.4506644308567047
fgsm,0.025,True,next_best,2349,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0004.npy,dataset/attacks/NN1/error_specific/fgsm/next_best/eps_0_025/001_n002771_Felix_Neureuther/0004.npy,0.025,0.023994,2585,2349,0.6175209283828735
fgsm,0.025,True,next_best,3525,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0005.npy,dataset/attacks/NN1/error_specific/fgsm/next_best/eps_0_025/001_n002771_Felix_Neureuther/0005.npy,0.025,0.02406,2585,3525,0.8076924085617065
fgsm,0.025,True,next_best,375,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0006.npy,dataset/attacks/NN1/error_specific/fgsm/next_best/eps_0_025/001_n002771_Felix_Neureuther/0006.npy,0.025,0.023862,2585,375,0.24029378592967987
