attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,clean_pred_class,adv_pred_class,target_confidence
fgsm,0.025,True,random,1213,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,0.025,0.023167,7185,6722,0.0073332954198122025
fgsm,0.025,True,random,2063,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,0.025,0.024068,7185,5353,0.0037134713493287563
fgsm,0.025,True,random,7572,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,0.025,0.023703,7185,809,0.004166559316217899
fgsm,0.025,True,random,4548,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,0.025,0.023834,7185,7571,0.004218005109578371
fgsm,0.025,True,random,4940,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,0.025,0.02407,7185,4540,0.013483481481671333
fgsm,0.025,True,random,4088,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,0.025,0.02394,7185,4088,0.38145092129707336
fgsm,0.025,True,random,8519,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,0.025,0.024,7185,6553,0.024901140481233597
fgsm,0.025,True,random,7152,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,0.025,0.023892,7185,4292,0.00274024554528296
fgsm,0.025,True,random,7989,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,0.025,0.023839,7185,7989,0.10269438475370407
fgsm,0.025,True,random,5035,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,0.025,0.023987,7185,4540,0.005372949875891209
fgsm,0.025,True,random,5259,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0000.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/001_n002771_Felix_Neureuther/0000.tiff,0.025,0.023794,2585,5259,0.08411651849746704
fgsm,0.025,True,random,3967,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0001.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/001_n002771_Felix_Neureuther/0001.tiff,0.025,0.023866,2585,3967,0.04129200801253319
fgsm,0.025,True,random,5409,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0002.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/001_n002771_Felix_Neureuther/0002.tiff,0.025,0.023838,2585,6329,0.025614634156227112
fgsm,0.025,True,random,781,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0003.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/001_n002771_Felix_Neureuther/0003.tiff,0.025,0.024063,2585,5565,0.00440167635679245
fgsm,0.025,True,random,729,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0004.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/001_n002771_Felix_Neureuther/0004.tiff,0.025,0.024005,2585,6304,0.002531234174966812
fgsm,0.025,True,random,130,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0005.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/001_n002771_Felix_Neureuther/0005.tiff,0.025,0.024064,2585,130,0.2017892450094223
fgsm,0.025,True,random,7710,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0006.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/001_n002771_Felix_Neureuther/0006.tiff,0.025,0.023864,2585,6419,0.0008968988549895585
fgsm,0.025,True,random,7312,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0008.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/001_n002771_Felix_Neureuther/0008.tiff,0.025,0.024063,2585,2995,0.0016526628751307726
fgsm,0.025,True,random,6911,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0009.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/001_n002771_Felix_Neureuther/0009.tiff,0.025,0.02387,2585,7390,0.0010394093114882708
