dataset_label,identity_name,target_class,clean_pred_class,target_confidence,source_image_path,adversarial_image_path
4,"""Drake""",3337,2148,0.00023997874814085662,dataset/clean_cropped/NN1/004_n002295_Drake/0006.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/004_n002295_Drake/0006.jpg
4,"""Drake""",5443,2148,0.016767194494605064,dataset/clean_cropped/NN1/004_n002295_Drake/0008.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/004_n002295_Drake/0008.jpg
16,"""Simon_Rattle""",3422,7514,0.0001388173404848203,dataset/clean_cropped/NN1/016_n008084_Simon_Rattle/0007.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/016_n008084_Simon_Rattle/0007.jpg
22,"""Martín_Cáceres""",108,5321,0.0004719867720268667,dataset/clean_cropped/NN1/022_n005752_Mart_n_C_ceres/0007.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/022_n005752_Mart_n_C_ceres/0007.jpg
26,"""Marky_Cielo""",1130,5279,0.00030954781686887145,dataset/clean_cropped/NN1/026_n005704_Marky_Cielo/0002.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/026_n005704_Marky_Cielo/0002.jpg
27,"""Tomatito""",5569,8010,0.006401058752089739,dataset/clean_cropped/NN1/027_n008620_Tomatito/0004.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/027_n008620_Tomatito/0004.jpg
31,"""Brad_Garrett""",4799,1092,0.038791730999946594,dataset/clean_cropped/NN1/031_n001155_Brad_Garrett/0009.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/031_n001155_Brad_Garrett/0009.jpg
32,"""Malu_Mader""",7040,5062,0.00222195778042078,dataset/clean_cropped/NN1/032_n005460_Malu_Mader/0002.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/032_n005460_Malu_Mader/0002.jpg
32,"""Malu_Mader""",4796,5062,0.0036044439766556025,dataset/clean_cropped/NN1/032_n005460_Malu_Mader/0008.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/032_n005460_Malu_Mader/0008.jpg
43,"""Christophe_Maé""",8281,1573,0.05113581195473671,dataset/clean_cropped/NN1/043_n001670_Christophe_Ma/0006.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/043_n001670_Christophe_Ma/0006.jpg
44,"""Nikki_Giovanni""",7588,6076,0.0003586866660043597,dataset/clean_cropped/NN1/044_n006550_Nikki_Giovanni/0002.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/044_n006550_Nikki_Giovanni/0002.jpg
44,"""Nikki_Giovanni""",986,6076,0.0008487212471663952,dataset/clean_cropped/NN1/044_n006550_Nikki_Giovanni/0006.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/044_n006550_Nikki_Giovanni/0006.jpg
55,"""Geoffrey_Kondogbia""",6263,2806,0.0012323827249929309,dataset/clean_cropped/NN1/055_n003011_Geoffrey_Kondogbia/0002.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/055_n003011_Geoffrey_Kondogbia/0002.jpg
55,"""Geoffrey_Kondogbia""",4275,2806,0.0021851875353604555,dataset/clean_cropped/NN1/055_n003011_Geoffrey_Kondogbia/0003.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/055_n003011_Geoffrey_Kondogbia/0003.jpg
65,"""Joe_Oliver""",7483,3894,0.006151435896754265,dataset/clean_cropped/NN1/065_n004164_Joe_Oliver/0003.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/065_n004164_Joe_Oliver/0003.jpg
66,"""Sümer_Tilmaç""",201,7776,0.03458297252655029,dataset/clean_cropped/NN1/066_n008368_S_mer_Tilma/0005.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/066_n008368_S_mer_Tilma/0005.jpg
66,"""Sümer_Tilmaç""",3412,7776,0.0007805913919582963,dataset/clean_cropped/NN1/066_n008368_S_mer_Tilma/0007.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/066_n008368_S_mer_Tilma/0007.jpg
75,"""Martin_Schulz""",4281,5308,0.0012163121718913317,dataset/clean_cropped/NN1/075_n005738_Martin_Schulz/0004.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/075_n005738_Martin_Schulz/0004.jpg
75,"""Martin_Schulz""",5364,5308,0.00047279277350753546,dataset/clean_cropped/NN1/075_n005738_Martin_Schulz/0006.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/075_n005738_Martin_Schulz/0006.jpg
75,"""Martin_Schulz""",7745,5308,0.003123198403045535,dataset/clean_cropped/NN1/075_n005738_Martin_Schulz/0007.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/075_n005738_Martin_Schulz/0007.jpg
78,"""Leymah_Gbowee""",1596,4787,7.888894469942898e-05,dataset/clean_cropped/NN1/078_n005152_Leymah_Gbowee/0004.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/078_n005152_Leymah_Gbowee/0004.jpg
79,"""Nino_Frassica""",547,6102,0.0007128139259293675,dataset/clean_cropped/NN1/079_n006578_Nino_Frassica/0009.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/079_n006578_Nino_Frassica/0009.jpg
82,"""Lee_Chung-yong""",2073,4714,0.004181362688541412,dataset/clean_cropped/NN1/082_n005064_Lee_Chung-yong/0009.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/082_n005064_Lee_Chung-yong/0009.jpg
91,"""Layne_Staley""",6384,4700,0.006388884969055653,dataset/clean_cropped/NN1/091_n005050_Layne_Staley/0002.jpg,dataset/attacks/error_specific/fgsm/random/eps_0_075/091_n005050_Layne_Staley/0002.jpg
