attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,clean_pred_class,adv_pred_class,target_confidence
pgd,0.01,True,least-likely,361,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,0.01,0.007133,7185,7185,1.3274020602693781e-05
pgd,0.01,True,least-likely,4660,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,0.01,0.006845,7185,2539,0.0004954051109962165
pgd,0.01,True,least-likely,4876,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,0.01,0.007045,7185,4540,1.4112484677752946e-05
pgd,0.01,True,least-likely,4952,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,0.01,0.007247,7185,7185,2.4144970666384324e-05
pgd,0.01,True,least-likely,4669,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,0.01,0.006894,7185,4669,0.11906106024980545
pgd,0.01,True,least-likely,8495,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,0.01,0.007135,7185,1999,2.5472301786066964e-05
pgd,0.01,True,least-likely,6288,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,0.01,0.007335,7185,7185,8.028760021261405e-07
pgd,0.01,True,least-likely,5216,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,0.01,0.006723,7185,7144,0.011783719062805176
pgd,0.01,True,least-likely,6536,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,0.01,0.007148,7185,6675,0.002575049875304103
pgd,0.01,True,least-likely,7422,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,0.01,0.007087,7185,6815,1.657426946621854e-05
