attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,clean_pred_class,adv_pred_class,target_confidence
pgd,0.01,True,random,520,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,0.01,0.007032,7185,7185,0.030463356524705887
pgd,0.01,True,random,1965,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,0.01,0.006854,7185,1965,0.8678892850875854
pgd,0.01,True,random,164,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,0.01,0.006988,7185,164,0.0476488396525383
pgd,0.01,True,random,4951,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,0.01,0.007307,7185,797,0.000587164075113833
pgd,0.01,True,random,3274,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,0.01,0.006808,7185,3274,0.7250553965568542
pgd,0.01,True,random,2540,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,0.01,0.007229,7185,2540,0.4390343427658081
pgd,0.01,True,random,848,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,0.01,0.00731,7185,7185,0.000878098071552813
pgd,0.01,True,random,6138,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,0.01,0.006954,7185,6138,0.2999832332134247
pgd,0.01,True,random,5278,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,0.01,0.007073,7185,5278,0.3222598135471344
pgd,0.01,True,random,2171,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,0.01,0.007225,7185,7185,0.0018951999954879284
pgd,0.01,True,random,4513,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0000.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/001_n002771_Felix_Neureuther/0000.jpg,0.01,0.007365,2585,2585,0.007764534559100866
pgd,0.01,True,random,7489,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0001.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/001_n002771_Felix_Neureuther/0001.jpg,0.01,0.00695,2585,7489,0.6708201169967651
pgd,0.01,True,random,4306,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0002.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/001_n002771_Felix_Neureuther/0002.jpg,0.01,0.007209,2585,2585,0.002752726199105382
pgd,0.01,True,random,3439,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0003.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/001_n002771_Felix_Neureuther/0003.jpg,0.01,0.007192,2585,2585,0.023366419598460197
pgd,0.01,True,random,1775,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0004.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/001_n002771_Felix_Neureuther/0004.jpg,0.01,0.007135,2585,1775,0.10657705366611481
pgd,0.01,True,random,4324,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0005.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/001_n002771_Felix_Neureuther/0005.jpg,0.01,0.007057,2585,4324,0.13762648403644562
pgd,0.01,True,random,7493,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0006.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/001_n002771_Felix_Neureuther/0006.jpg,0.01,0.007424,2585,2585,0.0008045077556744218
pgd,0.01,True,random,1066,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0008.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/001_n002771_Felix_Neureuther/0008.jpg,0.01,0.007023,2585,2585,0.021321961656212807
pgd,0.01,True,random,2741,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0009.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/001_n002771_Felix_Neureuther/0009.jpg,0.01,0.007267,2585,2741,0.07692389190196991
pgd,0.01,True,random,1673,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0000.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/002_n006115_Mike_Posner/0000.jpg,0.01,0.006808,5658,1673,0.9345554709434509
pgd,0.01,True,random,4045,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0001.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/002_n006115_Mike_Posner/0001.jpg,0.01,0.007276,5658,4045,0.7512862682342529
pgd,0.01,True,random,2345,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0002.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/002_n006115_Mike_Posner/0002.jpg,0.01,0.007444,5658,5658,0.020501716062426567
pgd,0.01,True,random,7889,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0004.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/002_n006115_Mike_Posner/0004.jpg,0.01,0.006754,5658,7889,0.44414085149765015
pgd,0.01,True,random,7113,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0005.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/002_n006115_Mike_Posner/0005.jpg,0.01,0.006514,5658,7113,0.8362941145896912
pgd,0.01,True,random,391,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0006.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/002_n006115_Mike_Posner/0006.jpg,0.01,0.006673,5658,391,0.13623973727226257
pgd,0.01,True,random,8309,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0007.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/002_n006115_Mike_Posner/0007.jpg,0.01,0.006139,5658,8309,0.9402709007263184
pgd,0.01,True,random,244,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0008.jpg,dataset/attacks/error_specific/pgd/random/eps_0_010/002_n006115_Mike_Posner/0008.jpg,0.01,0.007171,5658,244,0.6178338527679443
