attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,true_facenet_id,clean_pred_class,adv_pred_class,adv_target_class_confidence,clean_correct_nn2,adv_correct_nn2,target_success_nn2,untargeted_success_nn2
bim,0.025,True,next_best,2967,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,0.025,0.012787,7185,7185,7185,0.0035847398,1,1,0,0
bim,0.025,True,next_best,1168,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,0.025,0.012774,7185,7185,1168,0.7372714,1,0,1,0
bim,0.025,True,next_best,7483,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,0.025,0.013024,7185,7185,7185,0.15513618,1,1,0,0
bim,0.025,True,next_best,7711,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,0.025,0.013669,7185,7185,7711,0.759479,1,0,1,0
bim,0.025,True,next_best,4277,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,0.025,0.01174,7185,7185,7185,0.20460331,1,1,0,0
bim,0.025,True,next_best,639,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,0.025,0.01282,7185,7185,639,0.8526108,1,0,1,0
bim,0.025,True,next_best,6688,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,0.025,0.014077,7185,7185,6688,0.8142581,1,0,1,0
bim,0.025,True,next_best,7475,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,0.025,0.011932,7185,7185,7475,0.95450944,1,0,1,0
bim,0.025,True,next_best,4236,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,0.025,0.012733,7185,7185,4236,0.977425,1,0,1,0
bim,0.025,True,next_best,4540,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,dataset/attacks/NN1/error_specific/bim/next_best/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,0.025,0.013482,7185,7185,4540,0.91459644,1,0,1,0
