attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,true_facenet_id,clean_pred_class,adv_pred_class,adv_target_class_confidence,clean_correct_nn2,adv_correct_nn2,target_success_nn2,untargeted_success_nn2
bim,0.025,True,random,5732,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,dataset/attacks/NN1/error_specific/bim/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,0.025,0.01374,7185,7185,7185,0.31652954,1,1,0,0
bim,0.025,True,random,1977,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,dataset/attacks/NN1/error_specific/bim/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,0.025,0.013405,7185,7185,7185,0.0004075389,1,1,0,0
bim,0.025,True,random,2898,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,dataset/attacks/NN1/error_specific/bim/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,0.025,0.014655,7185,7185,7185,1.3434366e-06,1,1,0,0
bim,0.025,True,random,4071,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,dataset/attacks/NN1/error_specific/bim/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,0.025,0.014905,7185,7185,7475,0.0002497291,1,0,0,1
bim,0.025,True,random,4231,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,dataset/attacks/NN1/error_specific/bim/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,0.025,0.013105,7185,7185,4242,0.001172367,1,0,0,1
bim,0.025,True,random,4073,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,dataset/attacks/NN1/error_specific/bim/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,0.025,0.014479,7185,7185,5010,0.00011549862,1,0,0,1
bim,0.025,True,random,4659,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,dataset/attacks/NN1/error_specific/bim/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,0.025,0.014949,7185,7185,7465,0.00047414537,1,0,0,1
bim,0.025,True,random,6542,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,dataset/attacks/NN1/error_specific/bim/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,0.025,0.013581,7185,7185,7475,0.0047783847,1,0,0,1
bim,0.025,True,random,6181,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,dataset/attacks/NN1/error_specific/bim/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,0.025,0.013638,7185,7185,799,1.6368684e-05,1,0,0,1
bim,0.025,True,random,3810,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,dataset/attacks/NN1/error_specific/bim/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,0.025,0.014622,7185,7185,4242,0.0056511997,1,0,0,1
bim,0.025,True,random,1223,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0000.tiff,dataset/attacks/NN1/error_specific/bim/random/eps_0_025/001_n002771_Felix_Neureuther/0000.tiff,0.025,0.014502,2585,2585,2585,0.00087259646,1,1,0,0
bim,0.025,True,random,6202,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0001.tiff,dataset/attacks/NN1/error_specific/bim/random/eps_0_025/001_n002771_Felix_Neureuther/0001.tiff,0.025,0.013814,2585,2585,2585,0.0007492352,1,1,0,0
bim,0.025,True,random,7273,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0002.tiff,dataset/attacks/NN1/error_specific/bim/random/eps_0_025/001_n002771_Felix_Neureuther/0002.tiff,0.025,0.015301,2585,2585,2585,0.00062046875,1,1,0,0
bim,0.025,True,random,741,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0003.tiff,dataset/attacks/NN1/error_specific/bim/random/eps_0_025/001_n002771_Felix_Neureuther/0003.tiff,0.025,0.014038,2585,2585,2585,6.016189e-06,1,1,0,0
bim,0.025,True,random,4501,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0004.tiff,dataset/attacks/NN1/error_specific/bim/random/eps_0_025/001_n002771_Felix_Neureuther/0004.tiff,0.025,0.01401,2585,2585,2585,5.4839475e-06,1,1,0,0
