strategy,eps,total_images,nn2_clean_correct_images,nn2_clean_accuracy_all,robust_accuracy_clean_correct,targeted_asr_clean_correct,untargeted_asr_clean_correct,targeted_successes,untargeted_successes,resisted
next_best,0.025,915,888,0.9704918032786886,0.29954954954954954,0.615990990990991,0.08445945945945946,547,75,266
next_best,0.05,915,888,0.9704918032786886,0.09121621621621621,0.6925675675675675,0.21621621621621623,615,192,81
next_best,0.075,915,888,0.9704918032786886,0.0518018018018018,0.5867117117117117,0.3614864864864865,521,321,46
next_best,0.1,915,888,0.9704918032786886,0.033783783783783786,0.4527027027027027,0.5135135135135135,402,456,30
next_best,0.15,915,888,0.9704918032786886,0.006756756756756757,0.16666666666666666,0.8265765765765766,148,734,6
next_best,0.2,915,888,0.9704918032786886,0.0045045045045045045,0.041666666666666664,0.9538288288288288,37,847,4
random,0.025,915,888,0.9704918032786886,0.6103603603603603,0.012387387387387387,0.37725225225225223,11,335,542
random,0.05,915,888,0.9704918032786886,0.2972972972972973,0.02252252252252252,0.6801801801801802,20,604,264
random,0.075,915,888,0.9704918032786886,0.17454954954954954,0.030405405405405407,0.795045045045045,27,706,155
random,0.1,915,888,0.9704918032786886,0.1036036036036036,0.028153153153153154,0.8682432432432432,25,771,92
random,0.15,915,888,0.9704918032786886,0.04054054054054054,0.012387387387387387,0.9470720720720721,11,841,36
random,0.2,915,888,0.9704918032786886,0.010135135135135136,0.0022522522522522522,0.9876126126126126,2,877,9
rr_lookalikes,0.025,774,729,0.9418604651162791,0.6145404663923183,0.023319615912208505,0.36213991769547327,17,264,448
rr_lookalikes,0.05,774,729,0.9418604651162791,0.32510288065843623,0.05075445816186557,0.6241426611796982,37,455,237
rr_lookalikes,0.075,774,729,0.9418604651162791,0.20027434842249658,0.05075445816186557,0.7489711934156379,37,546,146
rr_lookalikes,0.1,774,729,0.9418604651162791,0.13443072702331962,0.04938271604938271,0.8161865569272977,36,595,98
rr_lookalikes,0.15,774,729,0.9418604651162791,0.0438957475994513,0.039780521262002745,0.9163237311385459,29,668,32
rr_lookalikes,0.2,774,729,0.9418604651162791,0.00823045267489712,0.013717421124828532,0.9780521262002744,10,713,6
rr_extremes,0.025,792,774,0.9772727272727273,0.5930232558139535,0.01937984496124031,0.3875968992248062,15,300,459
rr_extremes,0.05,792,774,0.9772727272727273,0.33462532299741604,0.023255813953488372,0.6421188630490956,18,497,259
rr_extremes,0.075,792,774,0.9772727272727273,0.24160206718346253,0.020671834625323,0.7377260981912145,16,571,187
rr_extremes,0.1,792,774,0.9772727272727273,0.17183462532299743,0.015503875968992248,0.8126614987080103,12,629,133
rr_extremes,0.15,792,774,0.9772727272727273,0.06718346253229975,0.003875968992248062,0.9289405684754521,3,719,52
rr_extremes,0.2,792,774,0.9772727272727273,0.00516795865633075,0.002583979328165375,0.9922480620155039,2,768,4
rr_diversity,0.025,738,711,0.9634146341463414,0.49226441631504925,0.011251758087201125,0.4964838255977497,8,353,350
rr_diversity,0.05,738,711,0.9634146341463414,0.21940928270042195,0.01969057665260197,0.7609001406469761,14,541,156
rr_diversity,0.075,738,711,0.9634146341463414,0.13361462728551335,0.026722925457102673,0.8396624472573839,19,597,95
rr_diversity,0.1,738,711,0.9634146341463414,0.07172995780590717,0.035161744022503515,0.8931082981715893,25,635,51
rr_diversity,0.15,738,711,0.9634146341463414,0.029535864978902954,0.02531645569620253,0.9451476793248945,18,672,21
rr_diversity,0.2,738,711,0.9634146341463414,0.008438818565400843,0.005625879043600563,0.9859353023909986,4,701,6
least-likely,0.025,915,888,0.9704918032786886,0.6407657657657657,0.0,0.35923423423423423,0,319,569
least-likely,0.05,915,888,0.9704918032786886,0.34797297297297297,0.0,0.652027027027027,0,579,309
least-likely,0.075,915,888,0.9704918032786886,0.21509009009009009,0.0,0.7849099099099099,0,697,191
least-likely,0.1,915,888,0.9704918032786886,0.13288288288288289,0.0,0.8671171171171171,0,770,118
least-likely,0.15,915,888,0.9704918032786886,0.04279279279279279,0.0,0.9572072072072072,0,850,38
least-likely,0.2,915,888,0.9704918032786886,0.009009009009009009,0.0,0.990990990990991,0,880,8
