attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,true_facenet_id,clean_pred_class,adv_pred_class,adv_target_class_confidence,clean_correct_nn2,adv_correct_nn2,target_success_nn2,untargeted_success_nn2
fgsm,0.025,True,least-likely,361,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,0.025,0.023185,7185,7185,6722,2.3505839e-08,1,0,0,1
fgsm,0.025,True,least-likely,4660,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,0.025,0.024061,7185,7185,7201,2.6645489e-10,1,0,0,1
fgsm,0.025,True,least-likely,4876,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,0.025,0.023697,7185,7185,4276,1.236155e-08,1,0,0,1
fgsm,0.025,True,least-likely,4952,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,0.025,0.023819,7185,7185,7571,9.638537e-08,1,0,0,1
fgsm,0.025,True,least-likely,4669,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,0.025,0.024071,7185,7185,5010,4.2076143e-09,1,0,0,1
fgsm,0.025,True,least-likely,8495,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,0.025,0.023942,7185,7185,5010,3.987099e-09,1,0,0,1
fgsm,0.025,True,least-likely,6288,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,0.025,0.024,7185,7185,7185,3.7410257e-09,1,1,0,0
fgsm,0.025,True,least-likely,5216,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,0.025,0.023916,7185,7185,7475,1.6005903e-06,1,0,0,1
fgsm,0.025,True,least-likely,6536,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,0.025,0.02383,7185,7185,6722,2.8102366e-07,1,0,0,1
fgsm,0.025,True,least-likely,7422,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,0.025,0.023979,7185,7185,4540,2.4964124e-06,1,0,0,1
