attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,true_facenet_id,clean_pred_class,adv_pred_class,adv_target_class_confidence,clean_correct_nn2,adv_correct_nn2,target_success_nn2,untargeted_success_nn2
fgsm,0.025,True,random,1213,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,0.025,0.023167,7185,7185,6722,3.1108488e-05,1,0,0,1
fgsm,0.025,True,random,2063,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,0.025,0.024068,7185,7185,7185,6.015425e-05,1,1,0,0
fgsm,0.025,True,random,7572,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,0.025,0.023703,7185,7185,5962,0.0026711076,1,0,0,1
fgsm,0.025,True,random,4548,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,0.025,0.023834,7185,7185,7571,3.8727743e-05,1,0,0,1
fgsm,0.025,True,random,4940,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,0.025,0.02407,7185,7185,4540,2.6065547e-06,1,0,0,1
fgsm,0.025,True,random,4088,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,0.025,0.02394,7185,7185,4088,0.2575802,1,0,1,0
fgsm,0.025,True,random,8519,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,0.025,0.024,7185,7185,6688,0.0023649824,1,0,0,1
fgsm,0.025,True,random,7152,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,0.025,0.023892,7185,7185,7185,1.7247173e-07,1,1,0,0
fgsm,0.025,True,random,7989,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,0.025,0.023839,7185,7185,1973,0.00010869173,1,0,0,1
fgsm,0.025,True,random,5035,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,dataset/attacks/NN1/error_specific/fgsm/random/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,0.025,0.023987,7185,7185,4242,0.00022821559,1,0,0,1
