attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,true_facenet_id,clean_pred_class,adv_pred_class,adv_target_class_confidence,clean_correct_nn2,adv_correct_nn2,target_success_nn2,untargeted_success_nn2
fgsm,0.025,True,rr_extremes,4752,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0000.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_extremes/eps_0_025/004_n002295_Drake/0000_to_4752.tiff,0.025,0.02395,2148,2148,2148,0.00034150228,1,1,0,0
fgsm,0.025,True,rr_extremes,325,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0000.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_extremes/eps_0_025/004_n002295_Drake/0000_to_325.tiff,0.025,0.023944,2148,2148,2148,9.404111e-09,1,1,0,0
fgsm,0.025,True,rr_extremes,86,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0000.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_extremes/eps_0_025/004_n002295_Drake/0000_to_86.tiff,0.025,0.023943,2148,2148,2148,3.2058442e-06,1,1,0,0
fgsm,0.025,True,rr_extremes,5406,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0000.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_extremes/eps_0_025/004_n002295_Drake/0000_to_5406.tiff,0.025,0.023945,2148,2148,2148,5.2280843e-06,1,1,0,0
fgsm,0.025,True,rr_extremes,1471,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0000.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_extremes/eps_0_025/004_n002295_Drake/0000_to_1471.tiff,0.025,0.023949,2148,2148,2148,0.00011205367,1,1,0,0
fgsm,0.025,True,rr_extremes,3126,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0000.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_extremes/eps_0_025/004_n002295_Drake/0000_to_3126.tiff,0.025,0.023951,2148,2148,2148,2.4413912e-05,1,1,0,0
fgsm,0.025,True,rr_extremes,3719,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0000.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_extremes/eps_0_025/004_n002295_Drake/0000_to_3719.tiff,0.025,0.023947,2148,2148,2148,1.2415545e-06,1,1,0,0
fgsm,0.025,True,rr_extremes,5308,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0000.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_extremes/eps_0_025/004_n002295_Drake/0000_to_5308.tiff,0.025,0.023941,2148,2148,2148,1.7168345e-07,1,1,0,0
fgsm,0.025,True,rr_extremes,5325,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0000.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_extremes/eps_0_025/004_n002295_Drake/0000_to_5325.tiff,0.025,0.023942,2148,2148,2148,1.3915532e-05,1,1,0,0
fgsm,0.025,True,rr_extremes,4752,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0001.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_extremes/eps_0_025/004_n002295_Drake/0001_to_4752.tiff,0.025,0.024054,2148,2148,2148,3.563024e-06,1,1,0,0
fgsm,0.025,True,rr_extremes,325,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0001.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_extremes/eps_0_025/004_n002295_Drake/0001_to_325.tiff,0.025,0.024055,2148,2148,2148,1.6569464e-08,1,1,0,0
fgsm,0.025,True,rr_extremes,86,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0001.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_extremes/eps_0_025/004_n002295_Drake/0001_to_86.tiff,0.025,0.024051,2148,2148,2148,1.902464e-05,1,1,0,0
fgsm,0.025,True,rr_extremes,5406,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0001.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_extremes/eps_0_025/004_n002295_Drake/0001_to_5406.tiff,0.025,0.024056,2148,2148,2148,6.368385e-07,1,1,0,0
fgsm,0.025,True,rr_extremes,1471,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0001.tiff,dataset/attacks/NN1/error_specific/fgsm/rr_extremes/eps_0_025/004_n002295_Drake/0001_to_1471.tiff,0.025,0.024054,2148,2148,2148,0.0004928612,1,1,0,0
