strategy,eps,total_images,nn2_clean_correct_images,nn2_clean_accuracy_all,robust_accuracy_clean_correct,targeted_asr_clean_correct,untargeted_asr_clean_correct,targeted_successes,untargeted_successes,resisted
least-likely,0.001,915,888,0.9704918032786886,0.9943693693693694,0.0,0.00563063063063063,0,5,883
least-likely,0.005,915,888,0.9704918032786886,0.9786036036036037,0.0,0.021396396396396396,0,19,869
least-likely,0.01,915,888,0.9704918032786886,0.9504504504504504,0.0,0.04954954954954955,0,44,844
least-likely,0.02,915,888,0.9704918032786886,0.7646396396396397,0.0,0.23536036036036037,0,209,679
least-likely,0.04,915,888,0.9704918032786886,0.4594594594594595,0.0,0.5405405405405406,0,480,408
least-likely,0.05,915,888,0.9704918032786886,0.35135135135135137,0.0,0.6486486486486487,0,576,312
next_best,0.001,915,888,0.9704918032786886,0.9966216216216216,0.0,0.0033783783783783786,0,3,885
next_best,0.005,915,888,0.9704918032786886,0.9572072072072072,0.03265765765765766,0.010135135135135136,29,9,850
next_best,0.01,915,888,0.9704918032786886,0.9009009009009009,0.08558558558558559,0.013513513513513514,76,12,800
next_best,0.02,915,888,0.9704918032786886,0.8085585585585585,0.17004504504504506,0.021396396396396396,151,19,718
next_best,0.04,915,888,0.9704918032786886,0.6531531531531531,0.32319819819819817,0.02364864864864865,287,21,580
next_best,0.05,915,888,0.9704918032786886,0.6092342342342343,0.35585585585585583,0.03490990990990991,316,31,541
random,0.001,915,888,0.9704918032786886,0.9966216216216216,0.0,0.0033783783783783786,0,3,885
random,0.005,915,888,0.9704918032786886,0.9842342342342343,0.0,0.015765765765765764,0,14,874
random,0.01,915,888,0.9704918032786886,0.9617117117117117,0.0011261261261261261,0.037162162162162164,1,33,854
random,0.02,915,888,0.9704918032786886,0.884009009009009,0.0033783783783783786,0.11261261261261261,3,100,785
random,0.04,915,888,0.9704918032786886,0.7038288288288288,0.015765765765765764,0.28040540540540543,14,249,625
random,0.05,915,888,0.9704918032786886,0.6475225225225225,0.02027027027027027,0.3322072072072072,18,295,575
