attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,true_facenet_id,clean_pred_class,adv_pred_class,clean_true_class_confidence,adv_true_class_confidence,clean_correct_nn2,adv_correct_nn2,prediction_changed_nn2,transfer_success_nn2
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,0.025,0.023172,7185,7185,5962,0.9753343462944031,0.061080627143383026,1,0,1,1
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,0.025,0.024062,7185,7185,1168,0.2152068018913269,2.1413692593341693e-05,1,0,1,1
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,0.025,0.02369,7185,7185,5962,0.9976246953010559,0.0802537128329277,1,0,1,1
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,0.025,0.023801,7185,7185,5513,0.960666298866272,0.01939256861805916,1,0,1,1
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,0.025,0.024071,7185,7185,7,0.9691849946975708,0.000906502129510045,1,0,1,1
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,0.025,0.023942,7185,7185,639,0.8349173069000244,0.0022196832578629255,1,0,1,1
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,0.025,0.023993,7185,7185,7185,0.9872298836708069,0.39934051036834717,1,1,0,0
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,0.025,0.023869,7185,7185,2653,0.8203663229942322,0.0001547785068396479,1,0,1,1
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,0.025,0.023814,7185,7185,7715,0.5616050958633423,1.297671133215772e-06,1,0,1,1
fgsm,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,0.025,0.023987,7185,4242,4242,0.1837530881166458,0.0006274477927945554,0,0,0,0
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0000.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0000.tiff,0.025,0.023778,2585,2585,2585,0.9896919131278992,0.1716146022081375,1,1,0,0
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0001.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0001.tiff,0.025,0.023838,2585,2585,1508,0.9060958027839661,0.0014258400769904256,1,0,1,1
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0002.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0002.tiff,0.025,0.023837,2585,2585,2585,0.9809296131134033,0.3516182005405426,1,1,0,0
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0003.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0003.tiff,0.025,0.024062,2585,2585,2585,0.9878586530685425,0.1658148616552353,1,1,0,0
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0004.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0004.tiff,0.025,0.024011,2585,2585,1988,0.9938969016075134,0.020459268242120743,1,0,1,1
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0005.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0005.tiff,0.025,0.024065,2585,2585,7651,0.844613790512085,0.0019965411629527807,1,0,1,1
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0006.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0006.tiff,0.025,0.023857,2585,2585,6879,0.9929797053337097,0.07159537822008133,1,0,1,1
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0008.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0008.tiff,0.025,0.024063,2585,2585,2585,0.9934292435646057,0.45264431834220886,1,1,0,0
fgsm,0.025,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0009.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/001_n002771_Felix_Neureuther/0009.tiff,0.025,0.023851,2585,2585,6304,0.982689380645752,0.015283188782632351,1,0,1,1
fgsm,0.025,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0000.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/002_n006115_Mike_Posner/0000.tiff,0.025,0.024062,5658,5658,5411,0.9899425506591797,0.005736829712986946,1,0,1,1
fgsm,0.025,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0001.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/002_n006115_Mike_Posner/0001.tiff,0.025,0.024068,5658,5658,6448,0.9708054065704346,0.0038392231799662113,1,0,1,1
fgsm,0.025,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0002.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/002_n006115_Mike_Posner/0002.tiff,0.025,0.024001,5658,5658,1206,0.8913958668708801,0.005039722193032503,1,0,1,1
fgsm,0.025,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0004.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/002_n006115_Mike_Posner/0004.tiff,0.025,0.023839,5658,5658,5658,0.9485985636711121,0.37515878677368164,1,1,0,0
fgsm,0.025,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0005.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/002_n006115_Mike_Posner/0005.tiff,0.025,0.023546,5658,1005,8120,0.01855415850877762,1.0662939530448057e-05,0,0,1,0
fgsm,0.025,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0006.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/002_n006115_Mike_Posner/0006.tiff,0.025,0.024071,5658,5658,5658,0.9823968410491943,0.1597232073545456,1,1,0,0
fgsm,0.025,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0007.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/002_n006115_Mike_Posner/0007.tiff,0.025,0.024071,5658,5658,3636,0.6811222434043884,1.5439277945006324e-07,1,0,1,1
fgsm,0.025,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0008.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/002_n006115_Mike_Posner/0008.tiff,0.025,0.024069,5658,5658,5658,0.9867624640464783,0.24676835536956787,1,1,0,0
fgsm,0.025,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0009.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/002_n006115_Mike_Posner/0009.tiff,0.025,0.024071,5658,5658,7231,0.9974929094314575,0.0010402330663055182,1,0,1,1
fgsm,0.025,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0000.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/003_n006980_Philip_Michael_Thomas/0000.tiff,0.025,0.023929,6487,6487,6487,0.9940548539161682,0.5346587896347046,1,1,0,0
fgsm,0.025,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0001.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/003_n006980_Philip_Michael_Thomas/0001.tiff,0.025,0.023227,6487,6487,2734,0.9886112809181213,0.006924692541360855,1,0,1,1
fgsm,0.025,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0002.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/003_n006980_Philip_Michael_Thomas/0002.tiff,0.025,0.023349,6487,6487,4487,0.8646792769432068,0.02342778630554676,1,0,1,1
fgsm,0.025,False,none,-1,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0003.tiff,dataset/attacks/NN1/error_generic/fgsm/eps_0_025/003_n006980_Philip_Michael_Thomas/0003.tiff,0.025,0.023838,6487,6487,6487,0.998881995677948,0.9849861264228821,1,1,0,0
